Partial-Vaccinated,State,Total,Total-Vaccinated,Vaccinated-today,date
11158741.0,Bihar,13174680.0,2015939.0,152601.0,2021-06-18
363813.0,Chandigarh,440585.0,76772.0,7887.0,2021-06-18
5185507.0,Chhattisgarh,6365119.0,1179612.0,6272.0,2021-06-18
129198.0,Dadra and Nagar Haveli,141387.0,12189.0,3598.0,2021-06-18
4881510.0,Delhi,6434195.0,1552685.0,77605.0,2021-06-18
626378.0,Goa,726686.0,100308.0,17659.0,2021-06-18
16854511.0,Gujarat,21596263.0,4741752.0,254018.0,2021-06-18
6113489.0,Haryana,7247474.0,1133985.0,88701.0,2021-06-18
2354749.0,Himachal Pradesh,2793097.0,438348.0,50848.0,2021-06-18
3313601.0,Jammu and Kashmir,3910835.0,597234.0,45569.0,2021-06-18
4670691.0,Jharkhand,5546776.0,876085.0,95618.0,2021-06-18
14971193.0,Karnataka,18130798.0,3159605.0,216926.0,2021-06-18
9589345.0,Kerala,11996311.0,2406966.0,99480.0,2021-06-18
120382.0,Andaman and Nicobar Islands,135850.0,15468.0,842.0,2021-06-18
43210.0,Lakshadweep,50334.0,7124.0,221,2021-06-17
119448.0,Andaman and Nicobar Islands,134897.0,15449.0,960,2021-06-17
16920784.0,Rajasthan,20286459.0,3365675.0,239147,2021-06-17
484633.0,Manipur,556448.0,71815.0,2099,2021-06-17
487996.0,Meghalaya,562928.0,74932.0,17917,2021-06-17
357878.0,Mizoram,410513.0,52635.0,16713,2021-06-17
329664.0,Nagaland,382540.0,52876.0,9144,2021-06-17
7756546.0,Odisha,9506300.0,1749754.0,143649,2021-06-17
314298.0,Puducherry,368948.0,54650.0,15381,2021-06-17
4490513.0,Punjab,5327778.0,837265.0,25306,2021-06-17
271946.0,Sikkim,331827.0,59881.0,14388,2021-06-17
12934175.0,Madhya Pradesh,14975268.0,2041093.0,123962,2021-06-17
9713059.0,Tamil Nadu,11935112.0,2222053.0,220685,2021-06-17
7327371.0,Telangana,8694842.0,1367471.0,177409,2021-06-17
1264502.0,Tripura,1791260.0,526758.0,53652,2021-06-17
20725526.0,Uttar Pradesh,24673597.0,3948071.0,402457,2021-06-17
2752271.0,Uttarakhand,3477183.0,724912.0,31824,2021-06-17
9817124.0,Andhra Pradesh,12462701.0,2645577.0,21759,2021-06-17
138597.0,Daman and Diu,153121.0,14524.0,2361,2021-06-17
21609227.0,Maharashtra,26985938.0,5376711.0,200502,2021-06-17
14282047.0,West Bengal,18431037.0,4148990.0,175738,2021-06-17
374023.0,Arunachal Pradesh,453458.0,79435.0,13690,2021-06-17
16632294.0,Gujarat,21334287.0,4701993.0,215489,2021-06-17
4089782.0,Assam,5092307.0,1002525.0,90006,2021-06-17
10995411.0,Bihar,12982413.0,1987002.0,175270,2021-06-17
356082.0,Chandigarh,432584.0,76502.0,7016,2021-06-17
5182271.0,Chhattisgarh,6357584.0,1175313.0,5507,2021-06-17
4818228.0,Delhi,6355530.0,1537302.0,90217,2021-06-17
609077.0,Goa,708794.0,99717.0,16685,2021-06-17
125600.0,Dadra and Nagar Haveli,137754.0,12154.0,3634,2021-06-17
6031899.0,Haryana,7150855.0,1118956.0,122619,2021-06-17
